slug,name,website_url,stage,category,tagline,description,best_for,pricing_model,price_note,setup_effort,integrations,featured,source_urls,verified_at,verified_by,status,notes
jasper,Jasper,https://jasper.ai,1,Content writing,Brand-aware writing for marketing teams,"Generates blog posts, ads, and email copy in a saved brand voice, with shared templates for teams.",Content teams that need one voice across channels,paid,,1,Zapier,true,,,,draft,SAMPLE DATA from the prototype. Verify every field.
copy-ai,Copy.ai,https://copy.ai,1,Content writing,Workflow automation for go-to-market copy,Combines copy generation with workflows that research accounts and draft outreach in bulk.,Teams that want copy and prospect research in one place,free_plan,,2,HubSpot;Salesforce;Slack;Zapier,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
writesonic,Writesonic,https://writesonic.com,1,Content writing,Long-form articles with SEO guidance built in,Drafts articles and landing pages and suggests keywords while you write.,Small teams publishing SEO content on a budget,free_plan,,1,Zapier,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
surfer,Surfer,https://surferseo.com,1,SEO,Content scoring against pages that already rank,Analyzes top search results for a keyword and tells writers which terms and structure to use.,SEO writers optimizing new and existing articles,paid,,1,Google Workspace,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
clearscope,Clearscope,https://clearscope.io,1,SEO,Keyword-driven content grades for editors,"Grades drafts against a keyword and suggests related terms, inside Google Docs or its own editor.",Editorial teams with a review process,paid,,1,Google Workspace,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
semrush,Semrush,https://semrush.com,1,SEO,"Keyword, competitor, and rank tracking suite",An all-in-one SEO and marketing toolkit with AI features for content and keyword research.,Marketers who want research and tracking under one subscription,paid,,2,Google Workspace;Zapier,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
marketmuse,MarketMuse,https://marketmuse.com,1,SEO,Topic planning across your whole content library,Audits what you have published and points to the topics you should cover next.,Content strategists planning topic clusters,free_plan,,2,,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
adcreative-ai,AdCreative.ai,https://adcreative.ai,1,Ad creative,Generates ad images and copy variants in bulk,Produces banner and social ad variations from a brand kit and scores them for likely performance.,Performance marketers testing many creatives,paid,,1,,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
madgicx,Madgicx,https://madgicx.com,1,Ad creative,Meta ads optimization with AI recommendations,Connects to your ad account to suggest audience and budget changes and to generate creatives.,E-commerce advertisers running Meta campaigns,paid,,2,,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
canva,Canva,https://canva.com,1,Ad creative,Design editor with AI image and layout tools,"Makes social graphics, presentations, and ad assets from prompts inside a familiar editor.",Anyone producing visual assets without a designer,free_plan,,1,Slack;Google Workspace;HubSpot,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
buffer,Buffer,https://buffer.com,1,Social media,Post scheduling with an AI writing assistant,Plans and schedules posts across channels and helps draft and reword captions.,Solo marketers and small brands,free_plan,,1,Zapier,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
hootsuite,Hootsuite,https://hootsuite.com,1,Social media,Social publishing and listening for larger teams,"Handles scheduling, approvals, and monitoring, with AI help for captions and replies.",Teams that need approvals and reporting,paid,,2,Salesforce;Slack;HubSpot,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
